"Provincia","pct_paredes_ladrillo","pct_techos_concreto","pct_pisos_precario","pct_pisos_buenos","indice_algebraico","indice_aritmetico"
"Cusco, provincia: Paucartambo",2.92289601881404,1.10028557030069,99.7900218377289,0.209978162271113,-0.863935633628097,-0.82913139654023
"Áncash, provincia: Antonio Raymondi",2.56207078711041,0.765979926043318,99.5773903856313,0.422609614368724,-0.867239511873258,-0.832274944790273
"Áncash, provincia: Carlos Fermín Fitzcarrald",2.06245181187355,1.19506553585197,99.6723207401696,0.327679259830376,-0.869968056597149,-0.835008716810409
"Áncash, provincia: Pallasca",2.60733801717408,0.749414519906323,99.7033567525371,0.296643247462924,-0.872156377285222,-0.836991141091163
"Amazonas, provincia: Condorcanqui",2.99505969534788,0.576368876080692,99.7735693701112,0.226430629888839,-0.872799447034205,-0.83754873809235
"Puno, provincia: Moho",1.89504373177843,1.23346041713389,99.8542274052478,0.145772594752188,-0.879285361355906,-0.843977506948646
"Áncash, provincia: Corongo",2.12345679012346,0.938271604938272,99.8024691358025,0.197530864197532,-0.879698116168461,-0.84430514455493
"Apurímac, provincia: Antabamba",2.21606648199446,1.00730294636112,99.8740871317049,0.125912868295146,-0.879901822387555,-0.844505543957443
"Cusco, provincia: Paruro",1.40845070422535,0.959740745357098,99.8005733516141,0.199426648385895,-0.889876514282613,-0.854140632325898
"Huánuco, provincia: Lauricocha",1.53649167733675,0.804828973843058,99.8353758917139,0.164624108286077,-0.892557269227696,-0.856678714868161
"Cusco, provincia: Canas",1.30240517159426,0.817568209905885,99.8574008936211,0.142599106378938,-0.89671894049659,-0.860696336751961
"La Lbertad, provincia: Bolívar",1.29769011160135,0.700752660264729,99.8442771866078,0.155722813392174,-0.898611753664159,-0.862494518839225
"Cusco, provincia: Acomayo",1.44822592324403,0.651701665459812,99.8841419261405,0.115858073859528,-0.899019573482532,-0.862866041022172
"Áncash, provincia: Aija",0.772797527047913,0.463678516228748,99.7939206594539,0.206079340546111,-0.90916982184611,-0.872635181529107
"Huánuco, provincia: Yarowilca",0.969962453066333,0.563204005006258,99.9374217772215,0.0625782227784697,-0.910191533476986,-0.873618412198354
"La Lbertad, provincia: Julcán",0.788821275636691,0.518368266846969,99.8760423709714,0.123957629028624,-0.911248287161344,-0.87463973186626
"Ucayali, provincia: Purús",1.75695461200586,0,100,0,-0.912460678505722,-0.875639319495621
"Huánuco, provincia: Huacaybamba",0.435835351089588,0.338983050847458,99.9273607748184,0.0726392251816037,-0.92230883658357,-0.885259638681135
"Áncash, provincia: Mariscal Luzuriaga",0.54375531011045,0.254885301614274,99.9490229396771,0.0509770603228503,-0.923305289103255,-0.886193784435944
